symbol	file	result	substitute	diagnostic
SlateTerminal	slate-terminal.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateTilemap	slate-tilemap.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateTimeline	slate-timeline.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
SlateVideoPlayer	slate-video-player.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
Smoke	smoke.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDisplacementMap, feTurbulence
Speaker	speaker.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feBlend, feComposite, feDistantLight, feSpecularLighting
Stars	stars.svg	ready	0	-
Sun	sun.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feColorMatrix, feComposite, feDisplacementMap, feTurbulence
Terrain	terrain.svg	ready	0	-
WeatherHail	weather-hail.svg	ready	0	-
WeatherRain	weather-rain.svg	ready	0	-
WeatherSnow	weather-snow.svg	ready	0	-
Wind	wind.svg	ready	0	-
FolderEnvironment	folder-environment.svg	ready	0	-
FolderGeneric	folder-generic.svg	ready	0	-
FolderWater	folder-water.svg	ready	0	-
LocalCloud	local-cloud.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feColorMatrix, feComposite, feDisplacementMap, feTurbulence
LocalFog	local-fog.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feColorMatrix, feComposite, feDisplacementMap, feTurbulence
OutlinerPrecipitation	outliner-precipitation.svg	ready	0	-
OutlinerStars	outliner-stars.svg	ready	0	-
FolderScene	folder-scene.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
FolderWorld	folder-world.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
FolderMaterials	folder-materials.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow
